distanceKm,energyConsumedKwh,startTime,endTime
500.0,50.0,2024-10-01T08:00:00,2024-10-01T16:00:00
500.0,50.0,2024-10-02T08:00:00,2024-10-02T16:00:00
500.0,50.0,2024-10-03T08:00:00,2024-10-03T16:00:00
500.0,50.0,2024-10-04T08:00:00,2024-10-04T16:00:00
500.0,50.0,2024-10-05T08:00:00,2024-10-05T16:00:00
500.0,50.0,2024-10-06T08:00:00,2024-10-06T16:00:00
500.0,50.0,2024-10-07T08:00:00,2024-10-07T16:00:00
500.0,50.0,2024-10-08T08:00:00,2024-10-08T16:00:00
500.0,50.0,2024-10-09T08:00:00,2024-10-09T16:00:00
500.0,50.0,2024-10-10T08:00:00,2024-10-10T16:00:00
500.0,50.0,2024-10-11T08:00:00,2024-10-11T16:00:00
500.0,50.0,2024-10-12T08:00:00,2024-10-12T16:00:00
500.0,50.0,2024-10-13T08:00:00,2024-10-13T16:00:00
500.0,50.0,2024-10-14T08:00:00,2024-10-14T16:00:00
500.0,50.0,2024-10-15T08:00:00,2024-10-15T16:00:00
500.0,50.0,2024-10-16T08:00:00,2024-10-16T16:00:00
500.0,50.0,2024-10-17T08:00:00,2024-10-17T16:00:00
500.0,50.0,2024-10-18T08:00:00,2024-10-18T16:00:00
500.0,50.0,2024-10-19T08:00:00,2024-10-19T16:00:00
500.0,50.0,2024-10-20T08:00:00,2024-10-20T16:00:00
500.0,50.0,2024-10-21T08:00:00,2024-10-21T16:00:00
500.0,50.0,2024-10-22T08:00:00,2024-10-22T16:00:00
500.0,50.0,2024-10-23T08:00:00,2024-10-23T16:00:00
500.0,50.0,2024-10-24T08:00:00,2024-10-24T16:00:00
500.0,50.0,2024-10-25T08:00:00,2024-10-25T16:00:00
500.0,50.0,2024-10-26T08:00:00,2024-10-26T16:00:00
500.0,50.0,2024-10-27T08:00:00,2024-10-27T16:00:00
500.0,50.0,2024-10-28T08:00:00,2024-10-28T16:00:00
500.0,50.0,2024-10-29T08:00:00,2024-10-29T16:00:00
500.0,50.0,2024-10-30T08:00:00,2024-10-30T16:00:00

