distanceKm,energyConsumedKwh,startTime,endTime
500.0,50.0,2024-12-02T08:00:00,2024-12-02T16:00:00
500.0,50.0,2024-12-02T08:00:00,2024-12-02T16:00:00
500.0,50.0,2024-12-03T08:00:00,2024-12-03T16:00:00
500.0,50.0,2024-12-04T08:00:00,2024-12-04T16:00:00
500.0,50.0,2024-12-05T08:00:00,2024-12-05T16:00:00
500.0,50.0,2024-12-06T08:00:00,2024-12-06T16:00:00
500.0,50.0,2024-12-07T08:00:00,2024-12-07T16:00:00
500.0,50.0,2024-12-08T08:00:00,2024-12-08T16:00:00
500.0,50.0,2024-12-09T08:00:00,2024-12-09T16:00:00
500.0,50.0,2024-12-10T08:00:00,2024-12-10T16:00:00
500.0,50.0,2024-12-11T08:00:00,2024-12-11T16:00:00
500.0,50.0,2024-12-12T08:00:00,2024-12-12T16:00:00

